id,created_at,location,author,text,original_url,media_count,has_video_link,hashtags,mentions,source_file,source_index
PCrxjiYWv,2025-07-23 17:28:03,四川,户晨风2023,"专科生不是大学生
户晨风先生很纳闷
为什么那么多专科生
老是自称为大学生
大学生＝本科生
专科生始终是专科生
（图1：为户先生在2017年当机械工期间）",https://weibo.com/5239030570/PCrxjiYWv,1,False,,,WeiBack-others-1753582854171-1.html,1
PCnWkzm1u,2025-07-23 08:18:42,内蒙古,户晨风2023,"户晨风先生的一天
7月22日
14点开始拍视频
20点拍摄结束
大热天路上走了6小时
20：30分吃麦当劳晚饭
21：20分到达酒店
洗漱休息40分钟
22点开始直播
7月23日
凌晨12点30分
直播2小时30分钟
下直播
开始整理拍摄文件
凌晨1点20分
收拾行李，洗澡
凌晨2点20分
入睡
早上6点30分
起床洗漱
7点整
打车去机场
7点40分
到达机场
8点25分
登机飞成都
11点15分
到达成都
这就是户先生的日常一天",https://weibo.com/5239030570/PCnWkzm1u,1,False,,,WeiBack-others-1753582854171-1.html,2
PCjn1Ccwo,2025-07-22 20:40:45,内蒙古,户晨风2023,"户晨风先生在呼和浩特
刚拍完一天的视频
和摄影一起吃个汉堡
马上准备直播
户先生的一天太匆忙了
户先生这么拼
到底为了什么？
谁能懂啊？！",https://weibo.com/5239030570/PCjn1Ccwo,2,False,,,WeiBack-others-1753582854171-1.html,3
PC6i7z7vw,2025-07-21 11:22:57,内蒙古,户晨风2023,"@全季酒店 这什么玩意？
床头发现的
干什么用的？
上一个住客遗留的？
打扫卫生很不认真啊
怎么查的房？
这一晚上房价
都将近500元了",https://weibo.com/5239030570/PC6i7z7vw,3,False,,全季酒店,WeiBack-others-1753582854171-1.html,4
PC0qBt2cx,2025-07-20 20:27:22,内蒙古,户晨风2023,"谁能想到
这是户晨风先生
今天的第一顿饭[祈祷]
户先生整天街上送人钱
做慈善
但是为了省800块钱的机票钱
愣是从成都
飞到鄂尔多斯
再坐高铁到呼和浩特
户先生对自己太狠了！",https://weibo.com/5239030570/PC0qBt2cx,3,False,,,WeiBack-others-1753582854171-1.html,5
PBZIw4uhg,2025-07-20 18:38:45,内蒙古,户晨风2023,"户晨风先生如约
向韩红基金会捐款500元
用以救助
双目有疾病的低收入人群
这已经是不知道多少次
户先生向社会捐赠钱款了
户先生这个人能力不强
水平一般
但，总想尽自己的微薄之力
让社会进步一点点",https://weibo.com/5239030570/PBZIw4uhg,2,False,,,WeiBack-others-1753582854171-1.html,6
PBWFeiDJa,2025-07-20 10:52:25,四川,户晨风2023,"还记得户晨风先生提出：
高铁应该禁止吃泡面
这个观点时
面对的都是嘲讽和攻击
如今
#高铁建议勿食用方便面引网友热议#
不知道当时攻击我的网友
该如何回应？
公共场合都应该禁止吃泡面
室外除外
否则味道太大
太形象他人
户先生还有很多观点
得不到很多网友的理解
时间是个试金石
让子弹飞一会
（图2-4为：攻击户先生的评论；）",https://weibo.com/5239030570/PBWFeiDJa,5,False,高铁建议勿食用方便面引网友热议,,WeiBack-others-1753582854171-1.html,7
PBOyA5Iwk,2025-07-19 14:14:03,四川,户晨风2023,"你认为户晨风先生
是个什么样的人？",https://weibo.com/5239030570/PBOyA5Iwk,1,False,,,WeiBack-others-1753582854171-1.html,8
PBFOMdxG4,2025-07-18 15:59:14,四川,户晨风2023,"户晨风先生的父母
总是带童年的户先生
到处玩，增长见识
户先生第一次去上海
是10岁时
细节记不清楚了
只记得外滩的繁华
和人特别多
后来户先生长大了
也总是带着自己的家人
周游全世界
（图1：2011年，时年13岁的户先生乘坐新建成的京沪高铁）",https://weibo.com/5239030570/PBFOMdxG4,1,False,,,WeiBack-others-1753582854171-1.html,9
PBmQ0BRpD,2025-07-16 15:40:05,四川,户晨风2023,"今天成都天气39度
体感温度40多度
酷暑难耐
户晨风先生跟家里人说
点外卖
我们一定要给个
额外的红包
打赏5元
因为这个天气
出来送外卖的
是真正缺钱的
需要钱的人
真正的为了活着
而奔波的人
我们的微薄之力
就能让他们在这个
酷暑天气
早点下班休息
勿以善小而不为啊",https://weibo.com/5239030570/PBmQ0BRpD,2,False,,,WeiBack-others-1753582854171-1.html,10
